City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,berlevag,70.8578,29.0864,44.6,74,100,12.01,NO,1663084711
112,kodiak,57.79,-152.4072,48.16,84,98,2.93,US,1663084713
113,skibbereen,51.55,-9.2667,64.92,68,100,12.88,IE,1663084588
114,mosquera,4.7059,-74.2302,59.09,67,40,2.3,CO,1663084646
115,maine-soroa,13.2114,12.0241,94.19,40,87,9.62,NE,1663084728
116,lilongwe,-13.9669,33.7873,75.4,35,0,17.27,MW,1663084732
117,atambua,-9.1061,124.8925,71.56,86,12,5.14,ID,1663084734
118,bolshaya rechka,51.9503,104.7355,52.07,73,100,6.96,RU,1663084737
119,namibe,-15.1961,12.1522,72.23,78,75,13.8,AO,1663084739
120,klaksvik,62.2266,-6.589,50.92,85,100,9.19,FO,1663084742
121,qaqortoq,60.7167,-46.0333,46.36,80,12,7.85,GL,1663084744
122,aksarka,66.5606,67.7975,41.9,91,94,6.26,RU,1663084747
123,upernavik,72.7868,-56.1549,41.31,93,100,4.0,GL,1663084749
124,chicama,-7.8447,-79.1469,61.34,59,39,9.48,PE,1663084751
125,carnarvon,-24.8667,113.6333,65.48,59,0,15.12,AU,1663084753
126,pochutla,15.7432,-96.4661,83.82,81,100,0.63,MX,1663084760
127,wanaka,-44.7,169.15,27.88,80,14,4.59,NZ,1663084762
128,tottori,35.5,134.2333,73.2,92,100,2.51,JP,1663084760
129,verkhnevilyuysk,63.4453,120.3167,44.22,96,100,11.16,RU,1663084767
130,saint-pierre,-21.3393,55.4781,71.28,68,0,3.44,RE,1663084769
131,ibotirama,-12.1853,-43.2206,100.04,15,3,1.12,BR,1663084771
132,cape town,-33.9258,18.4232,68.11,75,0,15.01,ZA,1663084656
133,korla,41.7597,86.1469,74.97,28,46,7.65,CN,1663084776
134,cabo san lucas,22.8909,-109.9124,87.06,72,18,6.58,MX,1663084778
135,luderitz,-26.6481,15.1594,73.85,35,33,8.99,NA,1663084780
136,ribas do rio pardo,-20.4431,-53.7592,91.6,38,22,0.29,BR,1663084783
137,dungarpur,23.8333,73.7167,83.41,72,100,1.81,IN,1663084787
138,kismayo,-0.3582,42.5454,75.97,84,85,14.29,SO,1663084789
139,coquimbo,-29.9533,-71.3436,58.73,67,20,9.22,CL,1663084792
140,chuy,-33.6971,-53.4616,62.2,68,43,13.51,UY,1663084794
141,port alfred,-33.5906,26.891,63.18,79,1,3.0,ZA,1663084796
142,mariani,26.6667,94.3333,75.88,92,85,4.65,IN,1663084799
143,bandarbeyla,9.4942,50.8122,77.9,86,100,31.43,SO,1663084801
144,lorengau,-2.0226,147.2712,80.78,70,26,9.44,PG,1663084804
145,presidencia roque saenz pena,-26.7852,-60.4388,77.02,20,0,7.56,AR,1663084809
146,hithadhoo,-0.6,73.0833,81.9,67,3,1.34,MV,1663084812
147,dali,25.7,100.1833,64.62,83,92,2.15,CN,1663084815
148,khash,28.2211,61.2158,80.24,15,31,8.75,IR,1663084817
149,bilma,18.6853,12.9164,104.72,11,56,5.37,NE,1663084820
150,gamboma,-1.8764,15.8644,85.68,53,87,5.17,CG,1663084823
151,ballina,-28.8667,153.5667,57.02,91,47,7.29,AU,1663084825
152,joaquim nabuco,-8.6244,-35.5333,81.57,60,32,9.71,BR,1663084829
153,hami,42.8,93.45,72.3,15,47,18.19,CN,1663084832
154,grand gaube,-20.0064,57.6608,70.38,75,48,4.0,MU,1663084835
155,tuatapere,-46.1333,167.6833,40.37,86,100,3.56,NZ,1663084837
156,lagoa,39.05,-27.9833,73.63,89,100,12.03,PT,1663084840
157,lethem,3.3803,-59.7968,87.93,60,10,4.85,GY,1663084842
158,okhotsk,59.3833,143.3,46.31,64,43,4.09,RU,1663084844
159,magadan,59.5667,150.8,41.94,63,0,7.56,RU,1663084847
160,malayal,7.208,121.942,79.83,82,95,3.13,PH,1663084849
161,sokolo,14.7328,-6.1219,96.62,33,100,3.76,ML,1663084852
